,ORBITID,CCDNUM,DEC,EXPNUM,RA,TDB,BAND,MJD,MAG,DETPROB,RANDOM
21,223,1,0.8473825220739365,788027,-31.77764381861934,18.82137274560006,i,58419.00559460757,22.91917862550156,0.8516218549354488,0.13317983362119068
22,223,2,-1.0751280843721864,232761,-32.26380590298163,13.693842052436382,r,56546.17503207758,23.38089350918908,0.8318558116303507,0.050925626438135474
23,223,54,0.45054833647544185,689620,-31.910866828630212,17.805715383518326,r,58048.03674310757,23.38089350918908,0.7782930917357231,0.9064945795489305
24,223,18,-1.0725683279649638,232343,-32.255988138113416,13.691154151930473,r,56545.19327641757,23.38089350918908,0.7852861115565016,0.4702923025571031
25,223,54,0.5161749717203888,681955,-31.778371648304724,17.737366012838613,r,58023.07213546758,23.38089350918908,0.7631710459646627,0.9032818055452861
26,223,28,0.1083914049231467,577281,-31.92452541555157,16.73520395620834,r,57657.03245585757,23.38089350918908,0.7295155475874636,0.32566717453033034
27,223,5,-1.1550515893968993,243043,-32.467722458988,13.77831337328175,z,56577.02818201757,22.73759829322311,0.5582401300022537,0.8444848578003624
28,223,27,-1.0803057499379913,233495,-32.27935189885865,13.699250174352448,z,56548.15034860757,22.73759829322311,0.7111732072320787,0.2455806116646434
29,223,28,0.10288507137878021,578134,-31.93791661802002,16.74067300245052,z,57659.03002499758,22.73759829322311,0.5036497695450611,0.23635934042886075
30,223,43,0.80311028426854,796276,-31.795097331527003,18.900825897237763,z,58448.02585823758,22.73759829322311,0.5372733702208992,0.7411210334582188
31,223,24,-1.152728836973954,242703,-32.462895278675575,13.775667231323919,z,56576.06167866757,22.73759829322311,0.7528252936782288,0.3202567842340668
32,223,54,0.516171116158979,681956,-31.778381120098164,17.737369786171385,z,58023.07351367758,22.73759829322311,0.6986270484084679,0.9182181724429302
33,223,21,0.19651521556261375,566570,-31.65517322132379,16.64272525259404,z,57623.25460935757,22.73759829322311,0.7295052842675753,0.8507806610637946
34,255,28,-0.45801141490031094,682103,3.3213480620148528,17.737932283063934,g,58023.27896566757,23.29745541912843,0.7540467705761422,0.7469858363282259
35,255,55,-1.5726180406320185,232840,1.9697309218985068,13.694180123182404,g,56546.29851241758,23.29745541912843,0.8627239223115452,0.6182765863091538
36,255,34,-1.478945873457106,372129,1.842141208283846,14.821896080116746,g,56958.19676568757,23.29745541912843,0.8633135197512867,0.7664733898367414
37,255,41,-1.6481200569699552,238927,1.7834271067104999,13.74014304791534,g,56563.08647067758,23.29745541912843,0.7195722192949223,0.05871921155158888
38,255,41,-0.3194040724711172,792421,3.273552954443932,18.854535245262753,g,58431.11819760757,23.29745541912843,0.8649701802887921,0.7812478328514137
39,255,7,-1.4612673386232387,370626,1.8902675905636914,14.808200234556287,g,56953.19435809757,23.29745541912843,0.8447935694847276,0.5367203580437374
40,255,13,-1.572676149614475,232849,1.969587697701021,13.694215737091518,g,56546.31152039758,23.29745541912843,0.8526466618563688,0.051585119732545426
41,255,18,-0.7386839957471892,575747,2.9872576861808784,16.724455620220635,g,57653.10662613757,23.29745541912843,0.8701427268844235,0.33285352652941325
42,255,16,-0.6230969076620176,693890,2.8875504740940503,17.852383877761106,g,58065.08241062758,23.29745541912843,0.7272704302653211,0.13238057953749616
43,255,28,-0.4578684389220909,682082,3.321711407435597,17.73784713283887,i,58023.24786454757,21.404479736626932,0.9144272262939943,0.5718063014514195
44,255,15,-1.8297232099267906,257257,1.283691200962307,13.890798440977605,i,56618.11335298757,21.404479736626932,0.9123356117594215,0.2771894179092701
45,255,51,-0.6888591162832013,573470,3.1098686556079533,16.694593941866447,i,57642.19964811757,21.404479736626932,0.9084562640346886,0.39217842694312555
46,255,1,-1.7125788871101735,243523,1.6184627686546846,13.781330465410601,i,56578.13017491758,21.404479736626932,0.8981325464214736,0.37557248796872855
47,255,23,-1.1807950799239268,349343,2.586432163899989,14.627760665727635,i,56887.28880557758,21.404479736626932,0.9143975775603143,0.6713855573409432
48,255,16,-0.5878682903487392,691566,2.9853315858993406,17.822464740672086,i,58054.15444580757,21.404479736626932,0.928161167148579,0.13894183186843423
49,255,36,-0.08872538287356366,773384,3.8699972579591684,18.70176607490878,i,58375.31925813758,21.404479736626932,0.907697417227215,0.6463826737707545
50,255,38,-0.9699896690156281,599340,2.3493999518344273,16.924281170307008,i,57726.09290829758,21.404479736626932,0.910126139364895,0.061223880232904926
51,255,26,-0.9684548070456346,602138,2.3244331752634033,16.965257001092947,i,57741.05933048757,21.404479736626932,0.9115456703500104,0.8708441248385633
52,255,26,-0.9705327351881254,599707,2.346313207396916,16.92695965635782,r,57727.07122532758,21.94708626969724,0.9044569138559861,0.20049749262089311
53,255,36,-0.08871907532841584,773383,3.87001298728024,18.701762304532526,r,58375.31788100758,21.94708626969724,0.892247706293811,0.7736682171402096
54,255,53,-1.2014852883417138,489156,2.1758764083525963,15.83462274052602,r,57328.09516682757,21.94708626969724,0.89317174756986,0.461881893001328
55,255,35,-1.4612833806672734,370629,1.8902236510985027,14.808212209725061,r,56953.19873202757,21.94708626969724,0.9064691060615956,0.7338936860366686
56,255,51,-0.7387344695312212,575755,2.987130675560197,16.724485703505383,r,57653.11761405758,21.94708626969724,0.9036836206423919,0.281254075854635
57,255,18,-0.7386776495806885,575746,2.987273649647893,16.724451837852566,r,57653.10524462757,21.94708626969724,0.9027497371724714,0.2803201994826957
58,255,28,-0.4578747299102237,682083,3.321695410811894,17.73785087928632,r,58023.24923293757,21.94708626969724,0.9023261432750673,0.29523839286805853
59,255,51,-0.6887199082789263,573448,3.1102137327663946,16.69450950630175,z,57642.16880802758,21.19639349442457,0.90550112672784,0.772468753900365
60,255,6,-1.526925668778258,377382,1.7035958028586213,14.868186211979001,z,56975.10423634757,21.19639349442457,0.9150002051607552,0.07303321331478108
61,255,1,-1.7125845400679494,243524,1.618447743900762,13.781334282467729,z,56578.13156909758,21.19639349442457,0.9070018729653563,0.9216870960828265
62,255,23,-1.180800213578659,349344,2.5864199453383225,14.627764451409197,z,56887.29018829758,21.19639349442457,0.9189566310814627,0.13981184526549695
63,255,41,-0.24139806646910072,784608,3.484581977286658,18.794451243175168,z,58409.17251584757,21.19639349442457,0.9230029879235431,0.27792302165314653
64,255,38,-0.9699904893362655,599341,2.3493952774896694,16.924284920204368,z,57726.09427794757,21.19639349442457,0.9147785854848981,0.47763486349800954
65,255,34,-0.5843233815809477,691180,2.9949157541543987,17.81976171364972,z,58053.16716518757,21.19639349442457,0.9219017109674403,0.20031787250944477
66,255,16,-0.5913650412788619,691977,2.975840470204219,17.825173852623415,z,58055.14394894757,21.19639349442457,0.9241733096762198,0.22461818019313162
75,679,2,2.9417792219101058,672426,23.479546880454247,17.65335555784542,g,57992.38731677757,24.900425000155952,0.10044563044962641,0.11567504964251218
76,679,2,2.9417830750139635,672424,23.479556341605797,17.653348041541875,i,57992.38457144758,23.28119065784808,0.6635754367276032,0.2256070920199117
77,679,7,2.421816187197498,364714,23.34601265602339,14.751046149571694,i,56932.31882855757,23.28119065784808,0.7845123969703386,0.2845678552737536
78,679,8,2.683817186376767,587395,23.185277599014373,16.82592888333107,i,57690.16973548757,23.28119065784808,0.7233708615845053,0.2246914410178339
79,679,13,2.9485633156246367,670452,23.495604967715973,17.639588522831993,i,57987.35890723758,23.28119065784808,0.7539388190762115,0.8398025903432559
80,679,56,2.3553880806165592,377732,23.118261892841648,14.870786450582585,r,56976.05397349758,23.733407676619475,0.4444179894172424,0.20014985628295245
81,679,32,2.7892415801074995,567911,23.490099294866617,16.65117426811538,r,57626.34061227758,23.733407676619475,0.5864921481974512,0.5783857342554256
82,679,8,2.420055647881538,365126,23.34086336572546,14.753779066039671,r,56933.31702629758,23.733407676619475,0.4930169151557963,0.23347421096332477
83,679,2,2.9417811422931694,672425,23.479551595688072,17.65335181180849,r,57992.38594853757,23.733407676619475,0.724223598571288,0.5614423812860626
84,679,2,2.913901859738317,677362,23.408685285701843,17.702477678988192,z,58010.32917152758,23.102722507777035,0.2852745887183416,0.03298718676174894
85,683,27,-56.69928363491356,362430,-0.10797604320946835,14.734255931502359,g,56926.18620140757,22.87496788102535,0.8869623335425207,0.8864000502640528
86,683,23,-57.19744010956864,241062,-0.5108305092038867,13.75662447961964,g,56569.10631360758,22.87496788102535,0.8872289991363246,0.5051364234011054
87,683,49,-55.186568210167515,602143,-0.6712861061912104,16.965279408539438,g,57741.06751480758,22.87496788102535,0.9001835568360688,0.6099458873895753
88,683,44,-56.08712160708526,466795,0.7439811760594941,15.643467668884732,g,57258.27577690758,22.87496788102535,0.8882969430529617,0.6562470415392757
