,objId,time,ra,dec,dradt,ddecdt,phase,solarelon,helio_dist,geo_dist,magV,trueAnomaly,velocity,fieldDec,fieldRA,filter,fiveSigmaDepth,night,observationStartMJD,rotSkyPos,seeingFwhmEff,seeingFwhmGeom,solarElong,visitExposureTime,dmagColor,dmagTrail,dmagDetect,mag,SNR
0,64,59874.21867742803,18.549960063111683,18.68143342505821,0.0388169713181107,0.0280402613550978,0.1095932806342991,169.11951374110583,98.24786338816128,97.27020233484134,23.862540619164605,-5672.28217179515,0.0478854207371431,18.003017406730017,17.493590122311186,r,23.7789219911482,21,59874.21867742803,137.708508160802,1.078589124250464,0.9386002601338812,168.8130832340848,30.0,-0.400341028121062,0.0015619718675041,0.0009263076691466,23.46312589871269,6.659836068233821
1,64,59874.21957251623,18.54999672453514,18.681458513564756,0.0388172162801911,0.0280399676169144,0.1095966271518378,169.11917605113527,98.24791524766508,97.27025559688452,23.8625434069869,-5672.28217179515,0.0478854473060526,19.46800907793747,20.471029112760355,r,23.7244809773695,21,59874.21957251623,134.65310507540525,1.1292240327480505,0.9802221549188976,169.69703806345638,30.0,-0.400341028121062,0.0014365154915476,0.0008493806447753,23.463051759510616,6.339700657755971
2,64,59874.23479865256,18.550620403079265,18.681885248373003,0.0388220029713014,0.0280350505368881,0.1096535886125677,169.1134232933961,98.24879742957005,97.2711618275469,23.86259083919843,-5672.28217179515,0.0478864487439778,18.003017406730017,17.493590122311186,i,23.31235348687825,21,59874.23479865256,143.19020558263253,1.0340096657137905,0.9019559452167356,168.80532591112694,30.0,-0.7822283223966728,0.0016866166935294,0.0010030682999727,23.08136558510173,6.167113947719492
3,64,59874.2356940645,18.55065708264404,18.6819103412879,0.038822320368605,0.028034766474686,0.1096569402693611,169.11308449475112,98.24884930924146,97.27121513253128,23.86259362909053,-5672.28217179515,0.047886539759026,19.46800907793747,20.471029112760355,i,23.24895507820196,21,59874.2356940645,140.29063707947748,1.0985879434965429,0.9550392895541584,169.69356766481803,30.0,-0.7822283223966728,0.0015105958512285,0.0008947639330636,23.08126007062692,5.822951878493159
4,64,59876.18006693281,18.63054712056885,18.736311912545244,0.0387804601680599,0.0279202307826864,0.1179630766193201,168.25631860434166,98.36169081052948,97.38746406584494,23.868801920448867,-5672.28217179515,0.047785598016609,17.18211839802411,18.427538264539617,g,24.557356228484487,23,59876.18006693281,128.2910572870293,0.8521431970926785,0.7524617080101818,168.93003537580327,30.0,0.5146696780753146,0.0023782293471423,0.0014345362570257,24.384906134781207,5.8481371038303624
5,64,59876.19627939748,18.63121076229711,18.7367643434612,0.0387827921291003,0.0279147483121501,0.1180431889011777,168.2482278668018,98.36263325672698,97.3884397983044,23.86885529369254,-5672.28217179515,0.0477842875709128,17.18211839802411,18.427538264539617,r,24.102272427297763,23,59876.19627939748,134.819937606787,0.8243972151284085,0.7296545108355518,168.92004518611736,30.0,-0.400341028121062,0.0025221022974362,0.0015253952324426,23.47003966080392,8.863706654171406
6,64,59896.14234286184,19.45258764620654,19.282116168670296,0.0390013350284635,0.0268391749714222,0.258995544343406,152.95903562921495,99.54137557474684,98.65882254722786,23.94155300282468,-5672.28217179515,0.0473439061247493,19.455837379007363,20.012692257239685,g,24.559541292127825,43,59896.14234286184,124.74201157956858,0.8392362282802668,0.7418521796463793,153.49640565149258,30.0,0.5146696780753146,0.0024006690535505,0.0014486835712785,24.457671364471274,5.485100901624496
7,64,59900.15310943314,19.61913905745653,19.389410740830424,0.0391524185466612,0.0266654125330718,0.2892893113157355,149.37077878642174,99.78297890560128,98.93080623573844,23.95672663262797,-5672.28217179515,0.047370413800302,18.453260605822223,20.263948250585265,i,23.355352856463867,47,59900.15310943314,124.27432744245264,1.030509685034996,0.8990789610987667,149.89742449788534,30.0,-0.7822283223966728,0.0016619847568557,0.0009878734630895,23.175486183694385,5.887633305085454
8,64,59901.05927757102,19.65688761491368,19.41356142932279,0.0391846988272032,0.0266552023349906,0.2960156592487952,148.55138233643055,99.8377745521222,98.9929921252021,23.9601522248546,-5672.28217179515,0.0473913539973054,17.366794913268066,19.379507909304632,i,23.66797011331204,48,59901.05927757102,206.52719680441768,0.7963495989575622,0.7065993703431162,148.0540732373257,30.0,-0.7822283223966728,0.0026395031923369,0.0015998014588213,23.179523703916747,7.785493326600154
9,64,59901.07216079408,19.6574226081777,19.41390465044296,0.0391833294236737,0.0266511099726049,0.2961128191047992,148.5397107213805,99.83855415038433,98.99387770161162,23.960201147738157,-5672.28217179515,0.0473879200587661,19.495577328549825,21.786783551356272,i,23.57783374200624,48,59901.07216079408,209.3735236101295,0.8579246526640846,0.7572140644898775,150.5522558645676,30.0,-0.7822283223966728,0.0023125257341673,0.001393164171519,23.179365989513002,7.177335780084654
10,64,59908.101953908284,19.951733296935306,19.600232541511044,0.0395341173614398,0.0263923000424142,0.346537803034191,142.1025479146158,100.26625278841156,99.48533458510518,23.98670593337881,-5672.28217179515,0.0475341975537288,17.87585306627861,19.583139550831383,r,23.83507447244472,55,59908.101953908284,118.1783215023244,1.0667575663261306,0.9288747195200794,141.468739628367,30.0,-0.400341028121062,0.0015711970289885,0.0009319776754438,23.58729688293319,6.261722714818209
