ObjID,FieldID,FieldMJD,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V,V(H=0),fiveSigmaDepth,filter,seeingFwhmGeom,MaginFilterTrue,AstrometricSigma(mas),PhotometricSigma(mag),SNR,AstrometricSigma(deg),MaginFilter,dmagDetect,AstRATrue(deg),AstDecTrue(deg),detectorID
745,417543.0,60611.18164855017,30395924234.580902,60.54232751519525,11.867296754309507,0.0141420466760993,-43.40471099996063,0.0086505880593107,21733104508.040344,4619344858.66147,-20852660705.574223,48.06421403230761,100.97636158868676,6.66794385629132,121909516.05236818,78025843.54646689,33817759.025151774,-17.735319273951998,22.666542009210303,9.678421103332829,0.2411990061627432,24.55141661086597,23.14739436386404,24.413526933594476,r,0.6859571237898354,24.37941661086597,80.42492542938491,0.19241226665576083,5.157520270284971,2.2340257063718032e-05,24.067738219057983,0.00013655657980471417,11.867314445867883,-43.40471752493926,2.0
745,417510.0,60611.16501075618,30395837229.09444,60.50818945927367,11.867048765053426,0.0141388499364887,-43.40487899752776,0.0086449806506697,21733035429.4229,4619199733.903357,-20852670288.84429,48.06421456589153,100.97636221010364,6.667943956526738,121934979.13870203,77993242.1590843,33803844.89826722,-17.691100736117566,22.6910917644366,9.680290721444884,0.241176246353128,24.551402041110705,23.14737979410877,25.062655628609587,g,0.6106845372629273,24.853402041110705,61.41609202732627,0.1661676281498965,6.046730339758724,1.7060025563146187e-05,24.958266256546388,0.0001721491417317607,11.867079181363964,-43.40486140516849,3.0
236,200869.0,60199.04468541088,12834426355.800695,91.5251802762124,289.5279008747791,0.0614101879203912,1.9974799971547972,0.0048230060862305,4435173290.349436,-12115887795.109306,435624939.69948816,186.1669981096925,-5.729695146039534,27.27182780687079,147687122.18060124,-27055442.24878748,-11730799.615570577,5.716351885713369,26.88232152626292,11.576648589711112,0.5811431015036409,24.21722700199043,19.456804988078986,23.930287265122413,r,0.9732689779924385,24.04522700199043,130.0563623305091,0.21772657331874998,4.503395816178406,3.612676731403031e-05,23.878254897726233,0.0014231549462165836,289.52780854762847,1.997501590431584,4.0
745,411115.0,60603.05934533199,30354345511.980556,57.85705793729378,11.752607702581656,0.013956447458487,-43.47264605912515,0.0080782111071366,21699381236.269066,4548496929.402512,-20857339120.529514,48.06432723460784,100.97643665596644,6.667901067947675,132954966.23026755,61638148.47838798,26715725.39492385,-13.767133855889218,24.66135218610095,10.52613174521745,0.2300101757647538,24.544341702476384,23.14031945547445,24.779928290450208,g,0.7522482628266165,24.846341702476384,96.41268494526781,0.20916672240704312,4.706813534233692,2.67813013736855e-05,24.58236184781313,0.00010564829857483471,11.752636300690584,-43.4726883290717,4.0
745,411116.0,60603.05976199865,30354347594.84891,57.8578374019005,11.752647468285431,0.0139563275568248,-43.47263599340785,0.008078338085522,21699382966.25128,4548500563.853455,-20857338880.531357,48.06432723756178,100.97643666565708,6.6679010755987695,132954470.59210216,61639036.29236418,26716104.335104417,-13.768314103168215,24.661635605072377,10.526096046836138,0.2300107671610714,24.544342065451698,23.14031981844977,24.722480339061246,g,0.7905780918407893,24.846342065451697,106.66006116919714,0.21933488862301023,4.4669531016053385,2.9627794769221426e-05,24.61742434507366,9.56536350707174e-05,11.75264211585225,-43.472684963123655,4.0
745,411120.0,60603.0614286653,30354355926.600475,57.86096596692239,11.752664745059633,0.0139558532293782,-43.47265481191163,0.0080788476494602,21699389886.17752,4548515101.651727,-20857337920.53906,48.06432724936878,100.9764367044056,6.66790110619499,132952487.61476324,61642587.64758183,26717620.08241536,-13.773044734878956,24.662743275618467,10.525953272211645,0.2300131324712713,24.54434351732585,23.14032127032392,24.71498461083792,g,0.7968173029734239,24.84634351732585,108.22460071669633,0.22069475696412047,4.436555743757054,3.00623890879712e-05,24.410161352498303,9.416243969038763e-05,11.752665375994107,-43.47267149880637,5.0
745,411128.0,60603.06612773934,30354379419.955883,57.86987692305721,11.752767299997572,0.013954561768266,-43.47264386940849,0.0080802982324739,21699409396.528538,4548556090.173528,-20857335213.89362,48.064327282578255,100.97643681353028,6.667901192410337,132946893.03850484,61652601.321269184,26721893.53791172,-13.786462376086495,24.665641105999025,10.525550881731789,0.2300197987990032,24.54434761054868,23.14032536354675,24.269201293309834,r,0.7609066234602445,24.37234761054868,100.79213671525852,0.21561721136368933,4.552018593421929,2.7997815754238478e-05,24.16415563368787,0.00010326174560784394,11.752730952512524,-43.47263353230579,5.0
745,411129.0,60603.066544406,30354381503.28604,57.87067332917554,11.75274113091831,0.0139544505517227,-43.4726352955096,0.0080804278225303,21699411126.51068,4548559724.624321,-20857334973.89547,48.06432728551663,100.97643682319716,6.66790120005216,132946396.70424302,61653489.28887993,26722272.45718171,-13.787657581404762,24.665881930486584,10.52551521225902,0.2300203897126611,24.544347973474945,23.140325726473016,24.24846341912214,r,0.7748242602562516,24.372347973474945,104.55567331825937,0.21933901759273675,4.466860233643008,2.904324258840538e-05,23.998304377420318,9.95861534359778e-05,11.752736766890331,-43.47263016548756,5.0
745,411135.0,60603.06904440597,30354394003.867573,57.87547263391039,11.752748930763232,0.0139537946368998,-43.47261026227532,0.0080812085801642,21699421506.40085,4548581531.323445,-20857333533.90689,48.06432730313046,100.9764368811698,6.667901245886622,132943417.7944382,61658817.27096674,26724545.945276063,-13.79484661734559,24.66727141983877,10.525301229202132,0.2300239345843993,24.544350150971564,23.140327903969634,24.05922442434122,r,0.9142094046626981,24.372350150971563,146.26159280140874,0.25610227248274076,3.759101748342209,4.062822022261354e-05,23.905661703993097,7.153807711302262e-05,11.752771652185562,-43.47260996344641,5.0
896,202052.0,60200.19048028626,15472582783.360142,92.94664076416788,350.8251783599393,0.0254748347947154,-13.229717834874625,0.0378343237155346,15017445228.501642,-2425992656.1085134,-3551563718.502488,133.29520006094876,85.00552680664782,105.49721225643717,148191926.61681396,-24402527.897498302,-10582465.599638274,4.856197831748523,27.202985304412312,11.621150748635769,0.0883053398171397,24.915189013761985,20.200689472671964,24.930995433365062,g,0.6208242976615826,25.217189013761985,97.20225577381713,0.25055132358850574,3.8526019003023966,2.700062660383809e-05,24.892604118328144,0.001887755314664015,350.8251677629855,-13.229688006758472,6.0
757,283840.0,60356.34019367505,19809838761.82908,-12.376881615150095,202.21826008864468,0.0250986340385867,-11.684845264439927,-0.0013081633171325,-18082591413.219456,-7261330081.213966,-3979871114.0576825,32.72852334774369,-109.42978774794722,-12.582454346369968,-123670312.58550511,74224246.56840976,32173299.398596924,-16.66382847239831,-23.365417691525067,-9.963248082781528,0.3613947081222066,25.30688913144034,21.30951288573027,24.152470287887894,r,0.8043100940554229,25.13488913144034,236.97515955534968,0.43341389141281894,2.0382571155868443,6.582643320981937e-05,23.84113769695004,0.00033348225564267095,202.21819319963888,-11.684819919932554,7.0
873,46471.0,59927.09886649782,11115772095.781404,113.69375927130514,44.70214081657019,0.0684690245887447,12.493752551371248,0.0088272665189371,7734859850.050287,7767634559.072682,2462671193.566266,-60.01228153359094,185.9282259286914,45.62678765813362,21161558.43015503,133721045.7502302,57961399.36872783,-30.252953738264768,4.103996728969106,1.6619559901486285,0.4420608570176552,22.1644750704849,18.82568109375607,24.397549187706375,g,0.9159049145490374,22.4664750704849,22.06579512494026,0.03818236354767337,27.93847260817685,6.129387534705627e-06,22.487918686426916,0.001926868106838512,44.70214100066055,12.493749332899228,8.0
64,14996.0,59874.21867742803,14551418071.154823,103.02997730254174,18.549999677615403,0.0409585052476319,18.681445487281415,0.0280290933575649,13199492439.651129,4450508118.916098,4689141199.56246,16.299525670005607,155.0835381871199,121.46860603969988,130895011.64359903,65137029.52362368,28230538.84371137,-14.93401950766139,24.24797775621332,10.375891428570322,0.1095896740663601,23.885944625374307,19.939952043662903,23.778921991148202,r,0.9386002601338813,23.713944625374307,106.64080351609664,0.18752264623858347,5.304279533337769,2.9622445421137954e-05,23.70103159186322,0.0009255411261625838,18.54997178532076,18.681441728954717,15.0
300,453329.0,60679.31280628071,15130492967.09094,-33.77918330890786,113.27573461409156,0.0242110191666276,-7.567812395073382,0.0406484589776932,-5962041435.662965,13909064337.420876,-1935879254.5449617,-90.2478246213262,-51.69604611167589,124.70764975533734,-35212390.867436774,131048537.04686436,56803546.60426541,-29.639076339890632,-6.986094858568368,-2.8846549503809387,0.2873215442579955,24.730521940776665,20.13771396951952,24.152010818793826,r,0.7806268094981186,24.558521940776664,136.05152405612645,0.2762127024085333,3.4519747925720323,3.7792090015590684e-05,24.12501360377494,0.0013008647780066171,113.27571768742447,-7.567825168046997,15.0
745,367214.0,60534.26510512165,30082761931.93391,32.99514012619329,10.736359479956434,0.0166686072695138,-43.896131502115836,0.0046925987022729,21413735644.01506,3948399632.683392,-20896965144.103718,48.065404066156894,100.9773010626997,6.6676175613355415,115626687.04400045,-89946761.7834415,-38993714.47533878,18.871994695342057,21.13952526657193,8.995286405846965,0.2214455672473867,24.504756937139355,23.100734690137426,23.81685955428376,i,0.7449282973726252,24.213756937139355,128.7360829525022,0.27407933325207534,3.482407979525777,3.576002304236172e-05,23.764825424289178,0.00010674288112166962,10.736429013770476,-43.896111980045504,15.0
873,418589.0,60612.32392744825,19800265226.28712,155.34775258770836,77.73588172239397,0.0195244921425621,15.008355066291552,-0.001081909169801,4182624293.386332,18768612665.385715,5162232159.452101,-60.03976569021334,185.88986804634413,45.614822501716745,120151695.19256791,80216089.93408522,34766201.133694895,-18.411720841431418,22.05158886848074,9.542193969779849,0.2894713578126052,24.63902230494385,21.30022832821502,24.127993129781167,r,0.7503675653779667,24.46702230494385,123.03968032483368,0.2615450484691507,3.6712946982553354,3.417768897912047e-05,24.037763677323195,0.00022569634712035818,77.73586831878825,15.008324410868283,15.0
745,351701.0,60507.3569168977,30015398463.861485,25.20433261410955,10.250815853005804,0.0193446337967656,-44.01783963784603,0.0044514216914702,21301999947.033028,3713662530.127869,-20912465075.05024,48.0658868542105,100.977764300394,6.667557624205802,61780442.27882261,-127471294.67779171,-55260015.2758176,26.78053572960052,11.405274759142614,4.771791987576753,0.2610817035957249,24.49932571015116,23.09530346314923,23.678630403877584,r,1.3007449585559823,24.32732571015116,282.2725055082411,0.33500705778550527,2.76660735074118,7.840902930784475e-05,23.538776107558906,4.491652758606792e-05,10.250721444889452,-44.01793341471944,16.0
745,367229.0,60534.27272166211,30082783650.04189,33.01046930679917,10.736470236121647,0.0166661588706786,-43.8961131755884,0.0046947842920163,21413767270.88977,3948466075.408954,-20896960756.833706,48.06540392566936,100.97730092752012,6.667617578199943,115639098.98491578,-89932848.29649596,-38987794.62127317,18.85027370747222,21.146118014576693,8.99630190052525,0.2214345112214227,24.50475864938075,23.10073640237882,24.281884002903134,r,0.7602739030400948,24.33275864938075,96.0766420875919,0.2064918098211339,4.773850272899851,2.6687956135442197e-05,24.12811543516805,0.00010246447754612153,10.736555961427776,-43.89607623038821,16.0
745,367233.0,60534.27438832876,30082788403.792194,33.0138586557938,10.736568846916839,0.0166656490593621,-43.89606065908291,0.0046952680741775,21413774191.545036,3948480614.5375614,-20896959796.8026,48.065403894956376,100.9773008979922,6.6676175819106565,115641813.08002125,-89929803.16012405,-38986499.13793427,18.845494183064005,21.14743993627724,8.996524159925544,0.2214320902119166,24.50475902386076,23.100736776858824,24.284548754105593,r,0.7592490358573853,24.33275902386076,95.71870043270127,0.2060363278484134,4.785439196501068,2.6588527897972575e-05,23.969345375320746,0.00010273862964070201,10.736583737926516,-43.89606840534714,16.0
745,367242.0,60534.27813832872,30082799101.52224,33.02152766250615,10.736631211001054,0.0166645364420575,-43.89605601956081,0.004696363373668,21413789763.021454,3948513327.5813217,-20896957636.732327,48.065403825892986,100.97730083162408,6.667617590296559,115647917.27444763,-89922950.92727722,-38983584.182950206,18.8347098147262,21.15025487729348,8.997024294797212,0.2214266407924326,24.504759866200843,23.10073761919891,24.24763986000144,r,0.7853362082272903,24.332759866200842,102.3196951826558,0.21242921885037275,4.627343425960027,2.8422137550737724e-05,24.124380272948894,9.602214958448501e-05,10.736646232004174,-43.89605079604351,16.0
745,367243.0,60534.27855499538,30082800290.312477,33.022383332686374,10.73669053186336,0.0166644157771139,-43.896046208413345,0.0046964856358913,21413791493.1854,3948516962.363739,-20896957396.72453,48.06540381822504,100.97730082425582,6.667617591229389,115648595.30238985,-89922189.51270932,-38983260.289075255,18.833509117191976,21.150553995099827,8.99707986930956,0.2214260351239289,24.50475995977473,23.100737712772805,24.248263174253204,r,0.785094413045064,24.33275995977473,102.23103001001051,0.2123197784828816,4.6299695358087085,2.839750833611403e-05,24.04943015144977,9.608076025408737e-05,10.73665317553498,-43.896048839200304,16.0
694,12465.0,59870.145908627055,20481157962.530216,147.60171152541733,335.6122991351334,0.007376247702821,-31.515226360200337,0.0322994575303676,16038017014.83788,-7152922568.663595,-10681500059.957748,176.20307464261575,-31.93523103337831,47.53528774283127,135732228.31398422,56558736.01691044,24512943.255847484,-12.849623771111188,25.1850453523633,10.744777509064887,0.362848236513763,24.022022454537588,21.453599458662104,24.349609139291424,r,0.6824781040294435,23.850022454537587,53.02116242290038,0.129962167560705,7.864220786444125,1.4728100673027884e-05,23.79481452410802,0.0008274157598413497,335.6122962364475,-31.515219302372092,25.0
694,12498.0,59870.1626492947,20481371478.22884,147.6367240904783,335.6124369903035,0.0073847571458353,-31.51465757528853,0.032304156271142,16038271748.357464,-7152968736.835354,-10681431339.072792,176.2030734345551,-31.935230928494704,47.53528796698368,135713606.79711148,56595155.75936951,24528483.48626277,-12.89912320247078,25.17359967055081,10.743466327060784,0.3628969262324036,24.0220708880438,21.453647892168316,24.297504106436403,g,1.0718296164954393,24.3240708880438,132.1446398138444,0.2023704912954047,4.880615033168769,3.670684439273456e-05,24.193293178715944,0.00033576347806964766,335.61241978946043,-31.51467854831829,25.0
64,16521.0,59876.19627939748,14569106143.842377,104.23162597585606,18.631250108866425,0.040935587111016,18.736751646106722,0.0279034771682619,13202276483.6662,4476997285.196235,4709888740.111681,16.29941936496275,155.0835041542677,121.46857110224326,128309475.53434914,69186724.7252669,29986435.977268267,-15.79546477009705,23.81076531645806,10.175916095323869,0.118041788198306,23.89295657375688,19.946963992045475,24.102272427297763,r,0.7296545108355518,23.72095657375688,62.752363826280906,0.14369584975578834,7.06681960446195,1.743121217396692e-05,23.655481181831572,0.0015241161362992831,18.63122248900533,18.7367726280646,26.0
111,71535.0,59967.26337017279,13839435938.599058,120.87799838532086,147.0737242799771,0.0361251890395527,16.977968499213134,-0.0333974716457459,-11189584097.610136,7308454226.468614,4090478985.48345,-198.30554102122815,-18.615250079795302,-60.46605298079914,-79440282.32888572,113755378.5074309,49308332.23844763,-25.79850977665847,-15.19177034386601,-6.440298981623919,0.217998142852065,23.82866174604141,19.74261485078948,24.458286418660723,g,0.8314706769849692,24.130661746041408,74.7825196953024,0.15037839760816837,6.731566036857808,2.0772922137583998e-05,23.94684401147539,0.0011883694245876258,147.07372992712683,16.977977275540074,27.0
873,438182.0,60648.16259816013,20306969885.99975,172.6375627626935,78.37908273381595,0.0166268412922591,14.975918789593807,-0.0006589185563163,3996813857.418587,19343896522.127293,5303398687.195768,-60.04045744146372,185.88810480101867,45.61423143554283,45208051.99509998,128772635.29598802,55816008.44869848,-29.202634918066824,8.46926557201158,3.5873607683373456,0.0739223716151531,24.7114539152723,21.37265993854347,24.757529257107432,g,0.6328431913711596,25.0134539152723,96.39484882621134,0.24444205862474222,3.9604372527444553,2.677634689616982e-05,24.539084031066913,0.00022981228155762677,78.37908493807733,14.975904471662863,27.0
799,937295.0,61499.331899188,17382330931.661663,2.430330204559338,228.10588638917406,0.033062742066807,0.19360767448307303,-0.0038563090710002,-11752302307.435226,-12972066997.82272,44421624.436309576,91.81059617261556,-106.2008177819443,-25.081874472118617,-145190406.691765,-33098353.10571116,-14347810.888411062,7.0457019769298,-26.83449805272952,-11.549193938834842,0.2855359748921712,25.304425329989808,20.73716023687689,24.695099604596802,g,0.7541442508540213,25.606425329989808,208.23878960138765,0.41064336216659886,2.1754313566538235,5.784410822260768e-05,24.681824456946842,0.0006935002638267895,228.10578981224785,0.1937164575036307,31.0
745,621065.0,60972.1159438599,31945041349.731834,66.93265401423437,18.42813023850283,0.0107771648332138,-40.33090879875187,0.0080964796605114,23231650256.67341,7767627610.143476,-20644755137.89611,48.06010227944408,100.96932107819045,6.668150712274802,128099875.20496874,69495492.07056278,30121419.43197085,-15.679499536485936,23.83048231875033,10.156501483692432,0.21211537805613,24.763140897772324,23.35911865077039,24.511273373132497,r,0.634829657329359,24.591140897772323,82.52999970043334,0.2115084785273426,4.649522349711887,2.2924999916787038e-05,24.403095474231147,0.00011759435020918194,18.428135568069678,-40.33093292839071,35.0
